Event	ID	Name			Wwise Object Path	Notes
	188339144	amb_playerhouse_RTLP			\Ambiences\Ambiences\2D\Player House\amb_playerhouse_RTLP	
	710205036	amb_PlayerHouseCreaks			\Ambiences\Ambiences\3D\Player House\amb_PlayerHouseCreaks	
	831022004	map_openclose			\SFX\UI\map_openclose	
	979341015	pc_footstep			\Player\Player\pc_footstep	
	1256202815	Play			\Parameters\Parameters\Play	
	1402340918	ui_highlight			\SFX\UI\ui_highlight	
	1455535776	item_up			\Player\Player\item_up	
	2024222415	ui_back			\SFX\UI\ui_back	
	2154256363	amb_playerhouseclock			\Ambiences\Ambiences\3D\Player House\amb_playerhouseclock	
	2774129122	ui_select			\SFX\UI\ui_select	
	3086540886	StopAll			\Parameters\Parameters\StopAll	
	3092587493	Pause			\Parameters\Parameters\Pause	

Switch Group	ID	Name			Wwise Object Path	Notes
	1177793757	MapType			\Default Work Unit\MapType	
	2085770324	ItemPickupType			\Default Work Unit\ItemPickupType	
	4274333454	FloorMaterial			\Default Work Unit\FloorMaterial	

Switch	ID	Name	Switch Group			Notes
	1936672669	MapTwo	MapType			
	2323396735	MapOne	MapType			
	660835419	Plastic	ItemPickupType			
	2473969246	Metal	ItemPickupType			
	3126687001	Paper	ItemPickupType			
	1216965916	Stone	FloorMaterial			
	2058049674	Wood	FloorMaterial			
	2195636714	Dirt	FloorMaterial			
	2473969246	Metal	FloorMaterial			
	4248645337	Grass	FloorMaterial			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	491266841	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Actor-Mixer_MAIN\Diegetic\Ambiences\3D Objects\Player House\PlayerHouse_CreakSequence\Silence\Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	52575897	Dirt-4	C:\Users\bandi\OneDrive\Documents\Game Dev\Reconciled\Wwise Project\Reconciled\.cache\Windows\SFX\Assets ready for implementation\Footsteps\Dirt - SNK\Dirt-4_326E223B.wem		\Actor-Mixer Hierarchy\Actor-Mixer_MAIN\Diegetic\Foley\Player\Player\Player_Foot_Switch\Grass-Dirt-Layer\Dirt-4		10060
	106093536	Wood-5	C:\Users\bandi\OneDrive\Documents\Game Dev\Reconciled\Wwise Project\Reconciled\.cache\Windows\SFX\Assets ready for implementation\Footsteps\Wood - SNK\Wood-5_818F3B66.wem		\Actor-Mixer Hierarchy\Actor-Mixer_MAIN\Diegetic\Foley\Player\Player\Player_Foot_Switch\Wood - SNK\Wood-5		22540
	112472524	Dirt-4	C:\Users\bandi\OneDrive\Documents\Game Dev\Reconciled\Wwise Project\Reconciled\.cache\Windows\SFX\Assets ready for implementation\Footsteps\Dirt - SNK\Dirt-4_818F3B66.wem		\Actor-Mixer Hierarchy\Actor-Mixer_MAIN\Diegetic\Foley\Player\Player\Player_Foot_Switch\Dirt\Dirt-4		40548
	128395977	Metal-2	C:\Users\bandi\OneDrive\Documents\Game Dev\Reconciled\Wwise Project\Reconciled\.cache\Windows\SFX\Assets ready for implementation\Footsteps\Metal - BOOT\Metal-2_818F3B66.wem		\Actor-Mixer Hierarchy\Actor-Mixer_MAIN\Diegetic\Foley\Player\Player\Player_Foot_Switch\Metal - BOOT\Metal-2		31128
	146124239	MapOneClose	C:\Users\bandi\OneDrive\Documents\Game Dev\Reconciled\Wwise Project\Reconciled\.cache\Windows\SFX\MapOneClose_818F3B66.wem		\Actor-Mixer Hierarchy\Actor-Mixer_MAIN\Non-Diegetic\UI\UI\UI_MapOpenClose\MapClose\MapOneClose		72096
	171473709	Grass-3	C:\Users\bandi\OneDrive\Documents\Game Dev\Reconciled\Wwise Project\Reconciled\.cache\Windows\SFX\Assets ready for implementation\Footsteps\Grass\Grass-3_818F3B66.wem		\Actor-Mixer Hierarchy\Actor-Mixer_MAIN\Diegetic\Foley\Player\Player\Player_Foot_Switch\Grass\Grass-3		68380
	173069506	Stone-5	C:\Users\bandi\OneDrive\Documents\Game Dev\Reconciled\Wwise Project\Reconciled\.cache\Windows\SFX\Assets ready for implementation\Footsteps\Stone - SNK\Stone-5_00225573.wem		\Actor-Mixer Hierarchy\Actor-Mixer_MAIN\Diegetic\Foley\Player\Player\Player_Foot_Switch\Stone - SNK\Stone-5		48096
	205369667	Grass-5	C:\Users\bandi\OneDrive\Documents\Game Dev\Reconciled\Wwise Project\Reconciled\.cache\Windows\SFX\Assets ready for implementation\Footsteps\Grass\Grass-5_818F3B66.wem		\Actor-Mixer Hierarchy\Actor-Mixer_MAIN\Diegetic\Foley\Player\Player\Player_Foot_Switch\Grass\Grass-5		65236
	292976887	Wood-1	C:\Users\bandi\OneDrive\Documents\Game Dev\Reconciled\Wwise Project\Reconciled\.cache\Windows\SFX\Assets ready for implementation\Footsteps\Wood - SNK\Wood-1_818F3B66.wem		\Actor-Mixer Hierarchy\Actor-Mixer_MAIN\Diegetic\Foley\Player\Player\Player_Foot_Switch\Wood - SNK\Wood-1		22412
	299069138	Stone-2	C:\Users\bandi\OneDrive\Documents\Game Dev\Reconciled\Wwise Project\Reconciled\.cache\Windows\SFX\Assets ready for implementation\Footsteps\Stone - SNK\Stone-2_00225573.wem		\Actor-Mixer Hierarchy\Actor-Mixer_MAIN\Diegetic\Foley\Player\Player\Player_Foot_Switch\Stone - SNK\Stone-2		48096
